"Date","Shift","Focused Factory","Model","Line","Defect Description","Defect Q'ty","Defect Rate","Root Cause","Part number","Vendor","Picture","Corrective Action","Target Date","Status","Following By","5M1D","Material Category","PE PIC","Safety risk check"
"8/21/2026","Day shift","High Mix","030412004","C2-033","Cannot install the steel needle onto the output shaft at station G10.3.","6","0.60%","The position of groove DIM #9 and the position of protrusion DIM #1 are not machined in alignment with each other, resulting in the inability to perform the steel needle crimping process at station G10.3.","621123009-06","CHEN KAI ","Screenshot 2026-08-21 084652.jpg","Separate the defective materials, then replace them with good materials. SQE to provide feedback for improvement.","8/21/2026","Closed","SQE","Material issue","Metal","Dong Dinh Chanh (VN.RYOBI-PIE)","NO"
"8/21/2026","Day shift","High Mix","159117002","C2-029","The die casting cannot be assembled ","3","0.50%","The die casting failed dim#2, spec: 17+0.055/+0.032 mm, actual: 17.027mm ","644182001","HAI THAO","dim 2.jpg","SQE requires the supplier to implement the corrective actions. ","8/26/2026","Keep monitoring","SQE","Material issue","Metal","Nguyen Trong Nhan (VN.RYOBI-PIE)","NO"
"8/21/2026","Day shift","High Mix","159117002","C2-059","The die casting cannot be assembed with the gear ring ","2 ","0.30%","The die casting failed dim#26, spec: 9+0.03/-0mm, actual: 48.8mm","644182001","HAI THAO ","dim 26.jpg","SQE requires the supplier to implement the corrective actions. ","8/26/2026","Keep monitoring","SQE","Material issue","Metal","Nguyen Trong Nhan (VN.RYOBI-PIE)","NO"
"8/20/2026","Day shift","High Mix","030412004","C2-033","Non-functional product detected at the functional test station.","2","0.30%","At station W01, the power wire was not properly inserted into the correct position on the switch and was not securely fastened with screws, causing the power wire to come loose and the product to become non-functional.","N/A","N/A","Screenshot 2026-08-20 132947.jpg","Reinstruct the operator to perform the procedure according to the WI and check before assembly.","8/20/2026","Closed","Prod","Man issue","N/A","Dong Dinh Chanh (VN.RYOBI-PIE)","NO"
"8/20/2026","Day shift","High Mix","011325011","C2-003","The tool is not working.","2","0.40%","The motor soldering point was lifted from the PCBA.","N/A","N/A","Screenshot 2026-08-20 163113.jpg","Retrain the operator on the correct assembly method to prevent recurrence of the defect.","8/20/2026","Closed","Prod","Man issue","N/A","Nguyen Minh Hieu (VN.RYOBI-PIE)","NO"
"8/20/2026","Day shift","High Mix"," 011245015","C2-028","The tool is not working.","2","0.40%","A component on the PCBA was accidentally damaged during assembly.","N/A","N/A","Screenshot 2026-08-20 162903.jpg","Retrain the operator to follow the work instruction in order to prevent recurrence of the defect.","8/20/2026","Closed","Prod","Man issue","N/A","Luu Hoang Nhan (VN.RYOBI-PIE)","NO"
"8/20/2026","Day shift","High Mix","011243018","C2-052","The tool is not working.","4","0.60%","The operator misaligned the battery pin during assembly, causing the pin to bend when inserting the battery into the fixture.","N/A","N/A","Screenshot 2026-08-20 163201.jpg","Retrain the operator to follow the work instruction in order to prevent recurrence of the defect.","8/20/2026","Closed","Prod","Man issue","N/A","Tran Minh Kha (VN.RYOBI-PIE)","NO"
"8/20/2026","Day shift","High Mix","159117002","C2-029","The shaft cannnot be assembled. ","2","0.30%","The shaft failed dim#26 (spec: 9+0.03/-0mm, actual: 8.86mm).","671562223","WEIDA ","shaft cannot assy.jpg","SQE requires the supplier to implement the corrective actions. ","8/28/2026","Keep monitoring","SQE","Material issue","Metal","Nguyen Trong Nhan (VN.RYOBI-PIE)","NO"
"8/20/2026","Night shift","High Mix","011059031","C2-031","General assembly failure","13","6.50%","NG dim#1 ( spec : 14-14.2mm , act : 13.95mm )","687800001","YANGZHOU","Screenshot 2026-08-21 044504.png","SQE contacts the supplier to sort and identify materials that meet the production requirements","8/20/2026","Closed","SQE","Material issue","Metal","Tran Quoc Kiet (VN.RYOBI-PIE)","NO"
"8/20/2026","Night shift","High Mix"," 011081018","C2-030 ","General assembly failure","3","1.50%","NG dim#46 ( spec : 21-21.033mm , act : 20.824 mm )","622908011","Weida","Screenshot 2026-08-21 045429.png","SQE contacts the supplier to sort and identify materials that meet the production requirements","8/20/2026","Closed","SQE","Material issue","Metal","Le Song Toan (VN.RYOBI-PIE)","NO"
"8/20/2026","Night shift","High Mix","109534009","C2-010","Cosmetic / Visual defect","12","3.00%","Missing logo ","355173004","DONGGUAN JINHUI PLASTIC MANUFACTURING CO.,LTD","Screenshot 2026-08-21 050238.png","SQE contacts the supplier to sort and identify materials that meet the production requirements","8/20/2026","Closed","SQE","Material issue","Plastic","Mai Chieu Linh (VN.RYOBI-PIE)","NO"
"8/20/2026","Night shift","High Mix","011412011","C2-009","Tool non-functional","10","3.00%"," Bearing pressed in reversed orientation causing assembly jam","N/A","N/A","Screenshot 2026-08-21 051300.png","Retrain the operator immediately to strictly adhere to the WI","8/20/2026","Closed","Prod","Man issue","N/A","Tran Quoc Kiet (VN.RYOBI-PIE)","NO"
"8/20/2026","Night shift","High Mix","011243018","C2-052","Tool operates but LED light is off","2","0.30%","Wire severed during manual wire harness routing","N/A","N/A","Screenshot 2026-08-21 052050.png","Retrain the operator to adhere to the WI","8/20/2026","Closed","Prod","Man issue","N/A","Le Song Toan (VN.RYOBI-PIE)","NO"
"8/20/2026","Night shift","High Mix","011325011","C2-028","Tool non-functional","1","0.20%","Wire severed by screw during PCBA assembly","N/A","N/A","Screenshot 2026-08-21 052539.png","Retrain the operator to adhere to the WI","8/20/2026","Closed","Prod","Man issue","N/A","Mai Chieu Linh (VN.RYOBI-PIE)","NO"
"8/20/2026","Night shift","High Mix","011031034","C2-031","Tool operates but LED light is off","1","0.20%","Wire severed during manual wire harness routing","N/A","N/A","Screenshot 2026-08-21 053113.png","Retrain the operator to adhere to the WI","8/20/2026","Closed","Prod","Man issue","N/A","Tran Quoc Kiet (VN.RYOBI-PIE)","NO"
"8/20/2026","Night shift","High Mix","011230028","C2-039","Tool non-functional","1","0.20%","Wire severed during manual harness routing","N/A","N/A","Screenshot 2026-08-21 053542.png","Retrain the operator to adhere to the WI","8/20/2026","Closed","Prod","Man issue","N/A","Le Song Toan (VN.RYOBI-PIE)","NO"
"8/20/2026","Day shift","High Volume","096608002","C1-17","The MAIN HOUSING assembly into the  BUMP COVER is stuck ","7","3.00%","The MAIN HOUSING is failed at dimension 38 and 41","554521001-07","Good View","truong559377584.jpg","Feedback to SQE team for improvement","8/21/2026","Closed","SQE","Material issue","Plastic","Kien Minh Truong (VN.RYOBI-PIE)","NO"
